story_name	CTRL	action	param1	param2	param3	param4	comment
第一章_乱世废帝（介绍）							如果第一列填写，此行后面内容无效
		DIALOG	古道。				
		DIALOG	西风。				
		DIALOG	瘦马。				
		DIALOG	破车。				
		DIALOG	落魄的皇帝。				
		DIALOG	准确的说是被废黜的皇帝，就在几天前，十三岁的少帝刘辩被权倾朝野的奸臣董卓强行废除帝号，改立八岁的陈留王刘协为帝，将仅仅才做了一百多天皇帝的刘辩废为弘农王，限期离京，前往一百多里之外的弘农居住。				
		DIALOG	皇帝被废，太后痛哭流涕，群臣无不悲愤。				
		DIALOG	但此刻的董卓已经完全掌控京都洛阳，手握十万西凉雄兵，更兼有万人之敌的吕布辅佐，群臣敢怒而不敢言，甚至就连刘辩离京的时候也没人敢出来送行。因为董卓早就放出风来，谁敢给何太后母子送行，立斩无赦，并诛三族。				
		DIALOG	但万事没有绝对，中国五千年的历史中从来不缺乏怕死的人。就在刘辩感叹不会有人来给自己送行的时候，蒿草里突然闪出几个穿戴着士大夫衣帽的文官，纷纷来到马车前跪倒叩头。				
		GOTO	jingdujiaowai.京都郊外									
		ADDACTION	文官	STORY	第一章_乱世废帝（文官出现）		
		ADDACTION	唐姬	STORY	第一章_乱世废帝（唐姬）		
第一章_乱世废帝（唐姬）							
		DIALOG	唐姬娇喘着抚摸着刘辩的胸膛。				
		STORY	第一章_乱世废帝（文官出现）				
第一章_乱世废帝（文官出现）							
		DIALOG	“陛下与太后蒙难遭辱，臣等却无能为力，只能在此跪送龙辇凤驾，望陛下与太后到了弘农之后保重龙体，勿使先帝在九泉之下牵挂！”				
		DIALOG	“龙辇凤驾？”刘辩把脑袋枕在美艳的唐姬腿上，不由自主的发出一声苦笑。				
		DIALOG	两辆快要散架的破马车，瑟瑟寒风不停的吹进来；两匹营养不良的驽马，看起来随时都有可能倒下。四个面黄肌瘦的宫女挤在两匹骡子上跟在马车后面，连个伺候的太监都没有，这就叫龙辇风驾？				
		DIALOG	卫兵倒是有近百人，一个个盔甲明亮，鲜衣怒马，看起来气势不凡的样子。说好听的是护卫自己去弘农定居，其实本质是董卓派来押解自己的，生怕自己溜到诸侯那里，图谋东山再起。				
		DIALOG	“诸位爱卿平身，快快请起……”				
		DIALOG	难得有大臣来送自己，何太后从前面的马车里探出脑袋，抹着眼泪招呼几位士大夫起身。虽然是太后的身份，但她也不过只是一个三十岁左右的妇人，再加上一直养尊处优，皮肤保养的极好，因此颇有姿色。				
		DIALOG	“哒、哒、哒……”				
		DIALOG	后方忽然尘土大起，一支数百人的骑兵席卷而来，斗大的“李”字大旗迎风招展，猎猎作响。见此情景，何太后与几个士大夫无不骇然变色，看这队人马来势汹汹，绝对来者不善。				
		DIALOG	“骁骑将军李傕拜见太后、弘农王，奉太师口谕，谁敢送行，立斩无赦！”李傕纵马提剑，嘴里说着拜见太后，手上却做出杀戮的动作。				
		DIALOG	寒光一闪，顿时一颗脑袋落地。				
		DIALOG	随着李傕的动作，他身后的骑士纷纷效仿，手中刀剑劈头乱砍，顿时把其他的几名士大夫全部砍成肉泥，变成了几团模糊的血肉。				
